"filename", "language", "C#", "Solution File", "MSBuild", "JSON", "Properties", "SQL", "comment", "blank", "total"
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\IEmailSender.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\MessageInterface\IMessagesRepository.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\UserInterface\IUserRepository.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Павел\Desktop\ProfUnion\Migrations\20240218151740_InitialCreate.Designer.cs", "C#", 39, 0, 0, 0, 0, 0, 2, 11, 52
"c:\Users\Павел\Desktop\ProfUnion\Migrations\20240218151740_InitialCreate.cs", "C#", 19, 0, 0, 0, 0, 0, 5, 5, 29
"c:\Users\Павел\Desktop\ProfUnion\Migrations\DataContextModelSnapshot.cs", "C#", 37, 0, 0, 0, 0, 0, 1, 11, 49
"c:\Users\Павел\Desktop\ProfUnion\Models\Application\Application.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Павел\Desktop\ProfUnion\Models\Application\RejectedApplication.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Павел\Desktop\ProfUnion\Models\Category\Categories.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Павел\Desktop\ProfUnion\Models\Category\EventCategories.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Павел\Desktop\ProfUnion\Models\CommunicationsModels\Comments.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Павел\Desktop\ProfUnion\Models\CommunicationsModels\Report.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Павел\Desktop\ProfUnion\Models\Events\Event.cs", "C#", 25, 0, 0, 0, 0, 0, 1, 7, 33
"c:\Users\Павел\Desktop\ProfUnion\Models\Events\ReservationList.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Павел\Desktop\ProfUnion\Models\Messages.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Павел\Desktop\ProfUnion\Models\UserModels\User.cs", "C#", 23, 0, 0, 0, 0, 0, 2, 4, 29
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\EntityUploads.cs", "C#", 0, 0, 0, 0, 0, 0, 18, 0, 18
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\EventUploads.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\Uploads.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Павел\Desktop\ProfUnion\Profunion.csproj", "MSBuild", 0, 0, 42, 0, 0, 0, 0, 7, 49
"c:\Users\Павел\Desktop\ProfUnion\Profunion.sln", "Solution File", 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Павел\Desktop\ProfUnion\Program.cs", "C#", 102, 0, 0, 0, 0, 0, 4, 16, 122
"c:\Users\Павел\Desktop\ProfUnion\Properties\launchSettings.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\Павел\Desktop\ProfUnion\Seed.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\Filtration.cs", "C#", 44, 0, 0, 0, 0, 0, 25, 9, 78
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\Helpers.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\MiddlewareConfiguration.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 14, 50
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\VerifyAccess.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\Павел\Desktop\ProfUnion\Services\ApplicationServices\ApplicationRepository.cs", "C#", 97, 0, 0, 0, 0, 0, 6, 18, 121
"c:\Users\Павел\Desktop\ProfUnion\Services\ApplicationServices\RejectedApplicationRepository .cs", "C#", 48, 0, 0, 0, 0, 0, 1, 10, 59
"c:\Users\Павел\Desktop\ProfUnion\Services\CategoryServices\CategoriesRepository.cs", "C#", 48, 0, 0, 0, 0, 0, 0, 15, 63
"c:\Users\Павел\Desktop\ProfUnion\Services\CommunicationsServicres\Comment.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\Павел\Desktop\ProfUnion\Services\EventServices\EventRepository.cs", "C#", 112, 0, 0, 0, 0, 0, 8, 19, 139
"c:\Users\Павел\Desktop\ProfUnion\Services\EventServices\ReservationListRepository.cs", "C#", 102, 0, 0, 0, 0, 0, 1, 17, 120
"c:\Users\Павел\Desktop\ProfUnion\Services\FileServices\FileRepository.cs", "C#", 45, 0, 0, 0, 0, 0, 5, 14, 64
"c:\Users\Павел\Desktop\ProfUnion\Services\MailServices\EmailSender.cs", "C#", 105, 0, 0, 0, 0, 0, 0, 20, 125
"c:\Users\Павел\Desktop\ProfUnion\Services\MessagesServices\MessagesRepository.cs", "C#", 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Павел\Desktop\ProfUnion\Services\MessagesServices\WebSocketManagerMiddleware.cs", "C#", 87, 0, 0, 0, 0, 0, 1, 15, 103
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\GenerateMultipleJWT.cs", "C#", 70, 0, 0, 0, 0, 0, 2, 20, 92
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\HashingPassword.cs", "C#", 45, 0, 0, 0, 0, 0, 2, 9, 56
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\UserRepository.cs", "C#", 166, 0, 0, 0, 0, 0, 0, 45, 211
"c:\Users\Павел\Desktop\ProfUnion\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Павел\Desktop\ProfUnion\appsettings.json", "JSON", 0, 0, 0, 19, 0, 0, 1, 1, 21
"c:\Users\Павел\Desktop\ProfUnion\bin\Debug\net7.0\Profunion.deps.json", "JSON", 0, 0, 0, 2329, 0, 0, 0, 0, 2329
"c:\Users\Павел\Desktop\ProfUnion\bin\Debug\net7.0\Profunion.runtimeconfig.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\Павел\Desktop\ProfUnion\bin\Debug\net7.0\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Павел\Desktop\ProfUnion\bin\Debug\net7.0\appsettings.json", "JSON", 0, 0, 0, 19, 0, 0, 1, 1, 21
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 0, 10, 5, 24
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.MvcApplicationPartsAssemblyInfo.cs", "C#", 4, 0, 0, 0, 0, 0, 10, 5, 19
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets.build.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets\msbuild.build.Profunion.props", "MSBuild", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets\msbuild.buildMultiTargeting.Profunion.props", "MSBuild", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets\msbuild.buildTransitive.Profunion.props", "MSBuild", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.EntityFrameworkCore.targets", "MSBuild", 0, 0, 28, 0, 0, 0, 0, 1, 29
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 169, 0, 0, 0, 0, 169
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.nuget.g.props", "MSBuild", 0, 0, 26, 0, 0, 0, 0, 0, 26
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.nuget.g.targets", "MSBuild", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Павел\Desktop\ProfUnion\obj\project.assets.json", "JSON", 0, 0, 0, 6634, 0, 0, 0, 0, 6634
"Total", "-", 3219, 24, 113, 9258, 17, 97, 200, 820, 13748
